iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,mean_reward,sum_reward,buffer_size
1,0.081383,17.895051,1.740743,0.190496,0.638449,4.553406,79.0,0.027,0.5,0.1615,807.7171,5000.0
2,0.0569,24.239732,1.745994,0.150783,0.590185,6.115087,71.0,0.0243,0.5,0.0849,381.9913,4500.0
3,0.055476,6.155412,1.751152,0.137324,0.577629,1.592577,63.0,0.02187,0.5,0.0909,363.5921,4000.0
4,0.068863,24.3729,1.755635,0.126149,0.572587,6.160333,79.0,0.019683,0.5,0.2504,1252.1976,5000.0
5,0.063278,5.076833,1.759917,0.117609,0.550484,1.330726,71.0,0.017715,0.5,0.1067,480.1239,4500.0
6,0.048924,10.694586,1.760652,0.101611,0.536788,2.72081,79.0,0.015943,0.5,0.1631,815.2644,5000.0
7,0.053156,8.884053,1.763137,0.09802,0.518196,2.272406,79.0,0.014349,5.0,0.1585,792.4864,5000.0
8,0.050481,13.230992,1.771699,0.115359,0.556382,3.356458,71.0,0.012914,5.0,0.1551,698.1369,4500.0
9,0.04898,48.438498,1.775251,0.096092,0.529665,12.15683,71.0,0.011623,5.0,0.3264,1468.8726,4500.0
10,0.041379,12.612679,1.777837,0.075952,0.462816,3.192771,79.0,0.01046,5.0,0.164,820.1835,5000.0
11,0.025753,10.780156,1.775392,0.062696,0.454707,2.719017,79.0,0.01,5.0,0.1305,652.7213,5000.0
12,0.034412,24.039685,1.775709,0.061762,0.44284,6.042558,79.0,0.01,5.0,0.2278,1138.8346,5000.0
13,0.03504,17.746122,1.778596,0.051327,0.399921,4.469792,79.0,0.01,5.0,0.2354,1177.2215,5000.0
14,0.02849,18.224519,1.779998,0.055191,0.417128,4.58284,79.0,0.01,5.0,0.2276,1138.0893,5000.0
15,0.027372,8.631356,1.781098,0.056568,0.427333,2.18343,71.0,0.01,5.0,0.1103,496.5317,4500.0
16,0.035146,40.882005,1.781734,0.044954,0.388845,10.253865,79.0,0.01,5.0,0.255,1275.0765,5000.0
17,0.034586,11.354991,1.782843,0.046456,0.391614,2.871551,79.0,0.01,5.0,0.1829,914.5734,5000.0
