iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,mean_reward,sum_reward,buffer_size
1,2.6e-05,95.83491,2.838888,0.002376,0.014969,23.955914,500.0,0.033,5.0,-0.5347,-4277.6826,8000.0
2,0.000299,99.390429,2.835716,0.003274,0.026687,24.845071,500.0,0.0363,5.0,-0.4595,-3675.7836,8000.0
3,-0.000438,177.966924,2.834214,0.003009,0.025656,44.488458,500.0,0.03993,5.0,-0.6241,-4992.801,8000.0
4,3.5e-05,113.092108,2.836423,0.003069,0.026219,28.270225,500.0,0.043923,5.0,-0.4981,-3984.7835,8000.0
5,-0.002418,38.613626,2.843553,0.003176,0.029087,9.648145,472.0,0.048315,5.0,-0.2411,-1808.5167,7500.0
6,-0.002828,40.948073,2.857338,0.003899,0.037893,10.231333,472.0,0.05,5.0,-0.3138,-2353.2684,7500.0
7,-0.000922,95.697347,2.862497,0.003138,0.027781,23.920552,500.0,0.05,5.0,-0.4593,-3674.4889,8000.0
8,-0.000201,62.583716,2.862205,0.002774,0.021219,15.642866,500.0,0.05,5.0,-0.4066,-3253.1852,8000.0
9,-0.002346,55.558005,2.855973,0.004026,0.038755,13.884299,440.0,0.05,5.0,-0.3666,-2566.0872,7000.0
10,-0.001653,18.029327,2.852502,0.003188,0.028889,4.502826,472.0,0.05,5.0,-0.1612,-1208.9119,7500.0
11,0.000119,76.158465,2.855854,0.003768,0.037344,19.03688,500.0,0.05,5.0,-0.414,-3312.2404,8000.0
12,-6.3e-05,104.10736,2.858982,0.003613,0.033719,26.023918,500.0,0.05,5.0,-0.4355,-3484.0474,8000.0
13,0.000385,17.367431,2.858183,0.002998,0.028125,4.339384,500.0,0.05,5.0,-0.2045,-1635.8473,8000.0
14,-0.00077,15.057036,2.861564,0.003077,0.030406,3.760627,500.0,0.05,5.0,-0.2016,-1613.0914,8000.0
15,0.00128,41.165382,2.864342,0.003229,0.025437,10.289761,500.0,0.05,5.0,-0.3729,-2983.1822,8000.0
16,-0.002329,55.558198,2.866221,0.004438,0.048916,13.884355,472.0,0.05,5.0,-0.4436,-3327.2654,7500.0
17,-0.000751,23.769129,2.872897,0.003462,0.033125,5.938658,500.0,0.05,5.0,-0.2952,-2361.9521,8000.0
