iteration,me_cells,me_admitted,me_replaced,me_cell_size,explore_pool_best_sdy,explore_stall,explore_boost,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
41,4.0,14.0,5.0,5.0,3.26,0.0,0.0,-0.012995,305.66554,1.522768,0.01599,0.145,76.401866,25.0,0.03,0.5,370.708367,5.0,1133.0,18.0,0.8574,5487.1054,6400.0
42,4.0,14.0,3.0,5.0,3.26,1.0,0.0,-0.029499,15.131977,1.522345,0.008667,0.01875,3.751973,15.0,0.033,0.5,334.451848,5.0,896.0,14.0,-0.1259,-805.8452,6400.0
43,4.0,15.0,3.0,5.0,3.26,2.0,0.0,-0.047976,11.928201,1.5217,0.081024,0.023438,2.932553,2.0,0.0297,0.5,343.357451,5.0,899.0,15.0,-0.1127,-721.0421,6400.0
44,5.0,11.0,0.0,5.0,3.26,3.0,0.0,0.015947,10.213286,1.522213,0.022193,0.032986,2.567747,9.0,0.0297,0.5,291.871679,5.0,722.0,12.0,-0.3412,-2183.6037,6400.0
45,7.0,4.0,2.0,5.0,3.26,4.0,0.0,-0.014837,10.399883,1.521321,0.007957,0.01875,2.583613,15.0,0.03267,0.5,300.469215,7.0,1457.0,23.0,0.0657,420.4635,6400.0
46,7.0,0.0,0.0,5.0,3.26,5.0,0.0,0.031069,12.371519,1.520773,0.012716,0.021484,3.122428,16.0,0.035937,0.5,292.650936,7.0,1457.0,23.0,-0.0487,-311.4559,6400.0
47,7.0,1.0,1.0,5.0,3.26,6.0,0.0,-0.023896,9.716062,1.520545,0.010487,0.024089,2.403599,24.0,0.039531,0.5,314.857189,7.0,1418.0,23.0,-0.496,-3174.4094,6400.0
48,7.0,0.0,0.0,5.0,3.26,7.0,0.0,-0.005139,7.584519,1.517026,0.012726,0.025276,1.889473,34.0,0.043484,0.5,311.407043,7.0,1418.0,23.0,-0.4457,-2852.3381,6400.0
49,7.0,1.0,1.0,5.0,3.26,0.0,0.2,0.024168,6.805801,1.515944,0.025048,0.029948,1.724102,12.0,0.043484,0.5,318.41697,7.0,1303.0,21.0,-0.2727,-1744.9869,6400.0
50,7.0,1.0,1.0,5.0,3.26,1.0,0.2,-0.025777,6.637185,1.915495,0.026773,0.04375,1.631603,15.0,0.043484,0.5,271.658537,7.0,1304.0,21.0,-0.3588,-2296.1353,6400.0
