iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size
1,0.0,215.048779,0.0,0.0,0.0,215.048779,632.0,0.03,0.5,1.0,1.1155,5577.5423,5000.0
2,0.0,34.335688,0.0,0.0,0.0,34.335688,632.0,0.03,0.5,1.0,-0.5589,-2794.5725,5000.0
3,0.0,9.983029,0.0,0.0,0.0,9.983029,632.0,0.03,0.5,1.0,-0.2783,-1391.4246,5000.0
4,0.0,12.474422,0.0,0.0,0.0,12.474422,632.0,0.03,0.5,1.0,-0.3116,-1557.9364,5000.0
5,0.0,10.573801,0.0,0.0,0.0,10.573801,632.0,0.03,0.5,1.0,-0.2265,-1132.6058,5000.0
6,0.009552,9.804637,-0.362223,0.032637,0.226562,2.461074,2.0,0.03,0.5,,-0.2694,-1346.7527,5000.0
7,-0.05661,15.403682,-0.362424,0.047712,0.265625,3.794673,3.0,0.027,0.5,,-0.2175,-1087.5301,5000.0
8,-0.041762,11.805338,-0.36232,0.033741,0.208333,2.909935,3.0,0.027,0.5,,-0.1496,-747.9641,5000.0
9,-0.000987,12.045411,-0.362304,0.031269,0.261719,3.010728,4.0,0.027,0.5,,-0.1598,-798.7736,5000.0
10,0.041615,13.638146,-0.362275,0.022054,0.160156,3.451513,4.0,0.027,0.5,,-0.1948,-974.2346,5000.0
