iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size
1,0.0,212.904647,0.0,0.0,0.0,212.904647,632.0,0.03,0.5,1.0,1.0389,5194.3869,5000.0
2,0.0,24.866186,0.0,0.0,0.0,24.866186,632.0,0.03,0.5,1.0,-0.3995,-1997.3842,5000.0
3,0.0,12.08575,0.0,0.0,0.0,12.08575,632.0,0.03,0.5,1.0,-0.1986,-992.8598,5000.0
4,0.0,13.057459,0.0,0.0,0.0,13.057459,632.0,0.03,0.5,1.0,-0.2826,-1413.0715,5000.0
5,0.0,11.917397,0.0,0.0,0.0,11.917397,632.0,0.03,0.5,1.0,-0.1945,-972.6668,5000.0
6,0.061131,15.667471,-0.362023,0.029161,0.148438,3.978361,2.0,0.03,0.5,,-0.2326,-1162.7591,5000.0
7,-0.032781,11.571154,-0.362014,0.056335,0.25,2.86037,3.0,0.027,0.5,,-0.2607,-1303.3704,5000.0
8,-0.009411,9.805749,-0.361967,0.066728,0.203125,2.442388,3.0,0.0243,0.5,,-0.1689,-844.3027,5000.0
9,-0.043131,16.383467,-0.361913,0.032557,0.164062,4.053098,2.0,0.0243,0.5,,-0.1661,-830.3654,5000.0
10,0.017587,11.272569,-0.361889,0.030503,0.214844,2.836091,4.0,0.0243,0.5,,-0.2,-1000.2165,5000.0
11,0.0102,13.22614,-0.361864,0.015101,0.046875,3.317097,3.0,0.0243,0.5,,-0.2176,-1087.9744,5000.0
12,-0.018466,14.227468,-0.361931,0.016443,0.132812,3.538763,6.0,0.0243,0.5,,-0.239,-1195.1808,5000.0
13,0.068676,15.001034,-0.36201,5.496149,0.015625,3.819296,1.0,0.02187,0.5,,-0.225,-1124.7782,5000.0
14,0.077995,14.696716,-0.362044,0.021177,0.15,3.752536,5.0,0.02187,0.5,,-0.2318,-1158.9815,5000.0
15,0.095321,19.847697,-0.362086,0.021852,0.205729,5.057607,6.0,0.02187,0.5,,-0.2782,-1391.1351,5000.0
16,0.004825,15.838592,-0.362109,0.014493,0.125,3.964835,4.0,0.02187,0.5,,-0.2945,-1472.6642,5000.0
17,0.134608,18.51366,-0.362048,0.023879,0.166667,4.763385,6.0,0.02187,0.5,,-0.2702,-1351.1615,5000.0
18,0.091312,18.119469,-0.361943,0.018129,0.138393,4.621541,7.0,0.02187,0.5,,-0.2906,-1453.181,5000.0
19,0.01168,17.87395,-0.361864,0.01977,0.148438,4.480529,4.0,0.02187,0.5,,-0.3166,-1583.1876,5000.0
20,0.007282,14.029637,-0.361949,0.016018,0.140625,3.515053,5.0,0.02187,0.5,,-0.2598,-1299.0539,5000.0
21,-0.011987,15.869796,-0.362064,0.022541,0.231771,3.955824,6.0,0.02187,0.5,,-0.2406,-1202.9169,5000.0
22,0.054356,15.458518,-0.362152,0.019438,0.140625,3.919348,6.0,0.02187,0.5,,-0.2742,-1370.7557,5000.0
23,-0.062152,13.945442,-0.362303,0.022651,0.144531,3.424571,4.0,0.02187,0.5,,-0.2927,-1463.5796,5000.0
24,0.104617,18.174423,-0.36235,0.014853,0.125,4.648585,5.0,0.02187,0.5,,-0.3186,-1592.9072,5000.0
25,0.040359,19.102437,-0.362504,0.028361,0.23125,4.816331,5.0,0.02187,0.5,,-0.3151,-1575.3928,5000.0
26,-0.013888,19.484004,-0.362559,0.024664,0.128125,4.857476,5.0,0.02187,0.5,,-0.3171,-1585.7247,5000.0
27,-0.052649,18.348446,-0.362502,0.05454,0.105469,4.534826,4.0,0.019683,0.5,,-0.2928,-1464.0818,5000.0
28,0.095404,18.323925,-0.362418,0.02307,0.119792,4.676747,3.0,0.019683,0.5,,-0.3397,-1698.3136,5000.0
29,-0.037246,15.288276,-0.362408,0.050388,0.18125,3.785185,5.0,0.017715,0.5,,-0.3245,-1622.5235,5000.0
30,-0.020288,15.781467,-0.362317,0.013159,0.109375,3.925441,4.0,0.017715,0.5,,-0.3058,-1528.8758,5000.0
31,0.042458,17.422103,-0.362233,0.011976,0.1875,4.398346,3.0,0.017715,0.5,,-0.3272,-1635.772,5000.0
32,-0.0235,20.597432,-0.362138,0.013539,0.090625,5.12622,5.0,0.017715,0.5,,-0.3598,-1798.9218,5000.0
33,0.007188,20.936115,-0.361968,0.025125,0.074219,5.241578,4.0,0.017715,0.5,,-0.4094,-2046.8313,5000.0
34,0.028991,18.538523,-0.361849,0.013195,0.144531,4.663983,4.0,0.017715,0.5,,-0.3557,-1778.5875,5000.0
35,0.014602,15.897599,-0.361767,0.017214,0.132812,3.989363,4.0,0.017715,0.5,,-0.2987,-1493.5597,5000.0
36,0.005434,22.456649,-0.361771,0.020612,0.203125,5.619958,4.0,0.017715,0.5,,-0.3387,-1693.432,5000.0
37,0.029226,19.585011,-0.361728,0.011731,0.121875,4.925841,5.0,0.017715,0.5,,-0.5249,-2624.4996,5000.0
38,-0.013506,18.634382,-0.361697,0.014585,0.1125,4.645451,5.0,0.017715,0.5,,-0.3655,-1827.4369,5000.0
39,0.030171,16.111265,-0.361598,0.013495,0.15,4.058349,5.0,0.017715,0.5,,-0.341,-1705.1732,5000.0
40,0.002001,20.330723,-0.361576,0.025385,0.15625,5.085044,4.0,0.017715,0.5,,-0.3802,-1900.9463,5000.0
41,-0.082426,18.644511,-0.361769,0.013887,0.109375,4.579063,6.0,0.017715,0.5,,-0.7396,-3698.1549,5000.0
42,-0.062893,21.028978,-0.362032,0.009932,0.113281,5.194713,4.0,0.017715,0.5,,-0.6971,-3485.4467,5000.0
43,0.048424,21.285522,-0.362116,0.023563,0.109375,5.370166,5.0,0.017715,0.5,,-0.3941,-1970.5746,5000.0
