iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
1,0.0,213.24467,0.0,0.0,0.0,213.24467,632.0,0.03,0.5,1.0,1.0509,5254.5241,5000.0,,,,
2,0.0,30.824565,0.0,0.0,0.0,30.824565,632.0,0.03,0.5,1.0,-0.3869,-1934.7444,5000.0,,,,
3,0.0,14.692588,0.0,0.0,0.0,14.692588,632.0,0.03,0.5,1.0,-0.1307,-653.6482,5000.0,,,,
4,0.0,14.323462,0.0,0.0,0.0,14.323462,632.0,0.03,0.5,1.0,-0.1806,-903.0384,5000.0,,,,
5,0.0,9.566035,0.0,0.0,0.0,9.566035,632.0,0.03,0.5,1.0,-0.2021,-1010.6011,5000.0,,,,
6,0.088855,19.183101,-0.362223,0.040313,0.242188,4.884992,2.0,0.03,0.5,,-0.1732,-866.17,5000.0,100.686528,18.0,6053.0,40.0
7,0.033325,17.321646,-0.362257,0.023175,0.1875,4.364099,4.0,0.03,0.5,,-0.1693,-846.6477,5000.0,98.51354,20.0,6319.0,40.0
8,-0.023791,15.576018,-0.361911,0.032311,0.130208,3.870576,3.0,0.03,0.5,,-0.1834,-917.1557,5000.0,97.057088,20.0,6752.0,40.0
9,0.100496,15.06821,-0.361633,0.025037,0.166667,3.86791,3.0,0.03,0.5,,-0.1868,-933.8918,5000.0,96.857088,20.0,6872.0,40.0
10,0.029494,17.371492,-0.361412,0.017387,0.105469,4.372728,4.0,0.03,0.5,,-0.1356,-677.8914,5000.0,96.464814,20.0,7240.0,40.0
11,0.032853,18.346541,-0.361268,0.035577,0.209375,4.61985,5.0,0.03,0.5,,-0.0961,-480.5213,5000.0,99.299943,20.0,7751.0,40.0
12,-0.120881,23.039999,-0.361253,0.035921,0.268229,5.63948,6.0,0.03,0.5,,-0.167,-835.2299,5000.0,99.548685,20.0,7535.0,40.0
13,-0.047433,17.916825,-0.361338,0.024722,0.210938,4.432135,4.0,0.03,0.5,,-0.198,-989.8934,5000.0,98.117255,20.0,7805.0,40.0
14,0.009385,17.933731,-0.361491,0.023417,0.175,4.493179,5.0,0.03,0.5,,-0.1892,-946.1607,5000.0,102.361155,20.0,7805.0,40.0
15,-0.023252,12.806964,-0.361588,0.058879,0.277344,3.178851,4.0,0.027,0.5,,-0.1692,-846.14,5000.0,97.927378,20.0,8053.0,40.0
16,0.098038,12.250774,-0.361711,0.017632,0.179688,3.161093,4.0,0.027,0.5,,-0.2386,-1192.7656,5000.0,97.563334,20.0,8218.0,40.0
17,0.045265,17.947334,-0.361852,0.024745,0.203125,4.532461,5.0,0.027,0.5,,-0.2154,-1077.0125,5000.0,96.986248,20.0,8218.0,40.0
18,0.053714,20.96204,-0.36182,0.024864,0.175781,5.294586,4.0,0.027,0.5,,-0.2069,-1034.669,5000.0,98.692256,20.0,8121.0,40.0
19,0.011097,17.911842,-0.361757,0.043812,0.15625,4.489419,3.0,0.0243,0.5,,-0.1984,-991.8785,5000.0,100.225352,20.0,8121.0,40.0
20,-0.018061,25.303994,-0.361708,0.018069,0.121875,6.308299,5.0,0.0243,0.5,,-0.288,-1439.7574,5000.0,97.484556,20.0,8121.0,40.0
21,-0.071996,20.869476,-0.361765,0.025534,0.166667,5.145736,3.0,0.0243,0.5,,-0.2527,-1263.7007,5000.0,96.589898,20.0,8122.0,40.0
22,-0.00988,30.773335,-0.361853,0.014417,0.101562,7.683815,4.0,0.0243,0.5,,-0.2424,-1212.0974,5000.0,99.441067,20.0,8097.0,40.0
23,0.03626,26.001777,-0.361827,0.039576,0.25,6.537066,5.0,0.02187,0.5,,-0.308,-1540.2197,5000.0,96.16578,20.0,8097.0,40.0
24,-0.011968,27.61552,-0.361989,0.021526,0.152344,6.892274,4.0,0.02187,0.5,,-0.2059,-1029.4677,5000.0,94.305118,20.0,8624.0,40.0
25,-0.061778,19.463394,-0.362249,0.152511,0.078125,4.804433,3.0,0.019683,0.5,,-0.2591,-1295.3224,5000.0,98.239058,20.0,8579.0,40.0
26,-0.010518,24.682154,-0.362358,0.023561,0.179688,6.160383,4.0,0.019683,0.5,,-0.236,-1180.0271,5000.0,96.967016,20.0,9063.0,40.0
27,-0.099727,23.4316,-0.362356,0.014336,0.140625,5.758536,3.0,0.019683,0.5,,-0.3129,-1564.4107,5000.0,97.306977,20.0,9084.0,40.0
28,-0.022185,27.709408,-0.362324,0.017674,0.165625,6.90553,5.0,0.019683,0.5,,-0.24,-1199.8435,5000.0,97.230738,20.0,9069.0,40.0
29,0.05031,20.710214,-0.362297,0.016064,0.13125,5.228226,5.0,0.019683,0.5,,-0.2307,-1153.6866,5000.0,95.459661,20.0,9221.0,40.0
30,-0.004449,21.916993,-0.362422,0.015995,0.153125,5.475161,5.0,0.019683,0.5,,-0.2948,-1473.8754,5000.0,94.749811,20.0,9342.0,40.0
31,-0.021346,22.795006,-0.362598,0.012597,0.140625,5.677768,4.0,0.019683,0.5,,-0.2962,-1481.0424,5000.0,99.558934,20.0,9171.0,40.0
32,-0.014635,22.821091,-0.362723,0.04717,0.135417,5.691001,3.0,0.017715,0.5,,-0.3102,-1550.9943,5000.0,94.861896,20.0,9179.0,40.0
33,0.020342,24.324454,-0.362817,0.017558,0.165625,6.101819,5.0,0.017715,0.5,,-0.2513,-1256.7274,5000.0,97.197735,20.0,9027.0,40.0
34,0.035217,29.429441,-0.362928,0.023821,0.167969,7.39294,4.0,0.017715,0.5,,-0.2462,-1231.2171,5000.0,98.936252,20.0,8599.0,40.0
35,0.067826,31.028087,-0.362938,0.01927,0.1875,7.825211,4.0,0.017715,0.5,,-0.2995,-1497.4378,5000.0,100.324211,20.0,8599.0,40.0
36,-0.087503,26.337852,-0.362805,0.016069,0.190104,6.497323,6.0,0.017715,0.5,,-0.277,-1384.8282,5000.0,95.41983,20.0,8332.0,40.0
37,0.105943,29.923604,-0.362714,0.012892,0.104167,7.587207,3.0,0.017715,0.5,,-0.286,-1429.8418,5000.0,96.945927,20.0,8332.0,40.0
38,0.007388,32.249871,-0.362662,0.015991,0.160156,8.070218,4.0,0.017715,0.5,,-0.3389,-1694.6051,5000.0,93.343025,20.0,8332.0,40.0
39,-0.070394,26.704169,-0.362613,0.01919,0.171875,6.60601,4.0,0.017715,0.5,,-0.3008,-1504.0259,5000.0,94.760507,20.0,8551.0,40.0
40,-0.05458,23.07653,-0.362677,0.015215,0.134375,5.714915,5.0,0.017715,0.5,,-0.3393,-1696.5525,5000.0,95.143674,20.0,8551.0,40.0
41,0.018182,30.036427,-0.362749,0.018648,0.125,7.527652,4.0,0.017715,0.5,,-0.2981,-1490.6541,5000.0,96.634323,20.0,8593.0,40.0
42,4e-06,32.668051,-0.362961,0.019337,0.171875,8.16738,5.0,0.017715,0.5,,-0.3575,-1787.4869,5000.0,97.41029,20.0,8593.0,40.0
43,0.065937,29.394144,-0.363011,0.013048,0.104167,7.414836,3.0,0.017715,0.5,,-0.3067,-1533.5532,5000.0,93.885257,20.0,8502.0,40.0
44,0.09365,32.185826,-0.363005,0.010468,0.109375,8.140469,3.0,0.017715,0.5,,-0.3585,-1792.2944,5000.0,90.796908,20.0,8502.0,40.0
45,0.090363,37.803687,-0.362963,0.01255,0.192708,9.541648,3.0,0.017715,0.5,,-0.3305,-1652.7038,5000.0,91.695133,20.0,8502.0,40.0
46,-0.028712,35.846102,-0.362924,0.015917,0.151042,8.933177,3.0,0.017715,0.5,,-0.3651,-1825.4167,5000.0,93.918309,20.0,8502.0,40.0
47,-0.093225,26.356077,-0.362893,0.023454,0.177083,6.496157,3.0,0.017715,0.5,,-0.3537,-1768.6946,5000.0,90.4007,20.0,8502.0,40.0
48,-0.056805,24.525558,-0.362938,0.016843,0.119792,6.074947,3.0,0.017715,0.5,,-0.3367,-1683.417,5000.0,92.993397,20.0,8502.0,40.0
49,0.087565,37.209919,-0.363051,0.012837,0.140625,9.390408,5.0,0.017715,0.5,,-0.3476,-1737.9906,5000.0,87.755854,20.0,8502.0,40.0
50,-0.022036,24.044485,-0.36316,0.014199,0.161458,5.989449,3.0,0.017715,0.5,,-0.4061,-2030.2736,5000.0,89.427161,20.0,8706.0,40.0
51,-0.037803,34.881664,-0.363335,0.017672,0.166667,8.682976,3.0,0.017715,0.5,,-0.3846,-1923.2194,5000.0,88.449827,20.0,8706.0,40.0
52,-0.00469,31.446154,-0.363507,0.017369,0.16875,7.857212,5.0,0.017715,0.5,,-0.3426,-1712.8183,5000.0,93.339355,20.0,8688.0,40.0
53,-0.103573,26.178153,-0.363595,0.011031,0.057292,6.441329,3.0,0.017715,0.5,,-0.412,-2060.2117,5000.0,94.710716,20.0,8688.0,40.0
54,0.089056,34.66069,-0.363668,0.013009,0.109375,8.754592,3.0,0.017715,0.5,,-0.3374,-1687.0448,5000.0,93.773979,20.0,8581.0,40.0
55,0.037401,36.599937,-0.363781,0.016217,0.171875,9.187749,6.0,0.017715,0.5,,-0.4276,-2138.0989,5000.0,90.811201,20.0,8581.0,40.0
56,-0.014801,30.303696,-0.363844,0.012897,0.125,7.561487,3.0,0.017715,0.5,,-0.3542,-1771.2476,5000.0,91.737794,20.0,8479.0,40.0
57,0.046203,39.799853,-0.363901,0.011669,0.09375,9.996531,3.0,0.017715,0.5,,-0.3586,-1793.0901,5000.0,94.649786,20.0,8302.0,40.0
58,-0.085029,35.867428,-0.363982,0.016026,0.177083,8.882192,6.0,0.017715,0.5,,-0.4352,-2175.8512,5000.0,95.504819,20.0,8302.0,40.0
59,0.031628,40.3604,-0.363993,0.016411,0.135417,10.122093,3.0,0.017715,0.5,,-0.333,-1665.0435,5000.0,94.06341,20.0,8192.0,40.0
60,-0.015725,34.955782,-0.363972,0.017406,0.171875,8.723584,3.0,0.017715,0.5,,-0.3289,-1644.7452,5000.0,92.100233,20.0,8192.0,40.0
61,0.098511,39.897162,-0.363903,0.016338,0.1875,10.073165,5.0,0.017715,0.5,,-0.4262,-2130.9687,5000.0,90.227511,20.0,8192.0,40.0
62,0.036923,35.98959,-0.363792,0.019532,0.175,9.034685,5.0,0.017715,0.5,,-0.4434,-2216.8423,5000.0,91.621608,20.0,8192.0,40.0
63,-0.040454,29.574102,-0.363664,0.019206,0.125,7.353435,3.0,0.017715,0.5,,-0.4026,-2013.1721,5000.0,90.926669,20.0,8192.0,40.0
64,0.135106,46.70722,-0.363597,0.019863,0.171875,11.812274,4.0,0.017715,0.5,,-0.4346,-2172.926,5000.0,94.480292,20.0,8047.0,40.0
65,0.064256,39.63605,-0.363542,0.015923,0.148438,9.973632,4.0,0.017715,0.5,,-0.4786,-2392.8972,5000.0,91.254973,20.0,8047.0,40.0
66,-0.006788,38.58129,-0.363525,0.01447,0.210938,9.638898,4.0,0.017715,0.5,,-0.4487,-2243.4869,5000.0,91.959408,20.0,8209.0,40.0
67,0.081731,44.588938,-0.363517,0.01946,0.1875,11.229329,6.0,0.017715,0.5,,-0.3816,-1907.9206,5000.0,93.919032,20.0,8096.0,40.0
