iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
1,0.0,234.392321,0.0,0.0,0.0,234.392321,632.0,0.03,0.5,1.0,1.0711,5355.5443,5000.0,,,,
2,0.0,35.772901,0.0,0.0,0.0,35.772901,632.0,0.03,0.5,1.0,-0.3669,-1834.2502,5000.0,,,,
3,0.0,10.480184,0.0,0.0,0.0,10.480184,632.0,0.03,0.5,1.0,-0.157,-784.9405,5000.0,,,,
4,0.0,11.410255,0.0,0.0,0.0,11.410255,632.0,0.03,0.5,1.0,-0.1422,-710.9061,5000.0,,,,
5,0.0,12.944179,0.0,0.0,0.0,12.944179,632.0,0.03,0.5,1.0,-0.1368,-683.8655,5000.0,,,,
6,-0.029221,17.358737,-0.362023,0.040156,0.242188,4.310825,2.0,0.03,0.5,,-0.1044,-521.9236,5000.0,99.708764,18.0,6594.0,40.0
7,0.040932,15.875666,-0.361961,0.033095,0.242188,4.01021,6.0,0.03,0.5,,-0.0578,-289.2171,5000.0,105.397576,20.0,7098.0,40.0
8,0.046103,12.921905,-0.361983,0.033753,0.171875,3.276941,3.0,0.03,0.5,,-0.0195,-97.7135,5000.0,100.514788,20.0,7387.0,40.0
9,-0.033787,9.396113,-0.36195,0.029718,0.221875,2.315603,5.0,0.03,0.5,,-0.0262,-130.7506,5000.0,104.403456,20.0,7405.0,40.0
10,-0.003456,18.558059,-0.361747,0.050348,0.144531,4.63642,4.0,0.027,0.5,,-0.0016,-7.8151,5000.0,97.285865,20.0,7601.0,40.0
11,0.108434,12.566774,-0.361681,0.017784,0.121094,3.25049,4.0,0.027,0.5,,0.0091,45.6044,5000.0,100.258748,20.0,7736.0,40.0
12,-0.002935,14.206168,-0.361635,0.047419,0.1875,3.548968,3.0,0.0243,0.5,,0.0143,71.557,5000.0,95.179018,20.0,7934.0,40.0
13,-0.085699,14.051071,-0.36165,0.019904,0.213542,3.427431,3.0,0.0243,0.5,,-0.0263,-131.5269,5000.0,93.015887,20.0,7899.0,40.0
14,0.082823,8.53619,-0.361724,0.023916,0.226562,2.217232,6.0,0.0243,0.5,,-0.0013,-6.269,5000.0,97.363593,20.0,7962.0,40.0
15,-0.008747,14.139373,-0.361746,0.019866,0.15,3.526458,5.0,0.0243,0.5,,-0.0085,-42.5122,5000.0,101.404577,20.0,8156.0,40.0
16,0.012042,14.181608,-0.361697,0.030554,0.242188,3.557806,4.0,0.0243,0.5,,-0.0225,-112.4772,5000.0,96.924464,20.0,7956.0,40.0
17,0.005306,13.219583,-0.361715,0.019407,0.184375,3.310564,5.0,0.0243,0.5,,-0.0347,-173.6899,5000.0,97.797396,20.0,7994.0,40.0
18,0.019403,12.249696,-0.361611,0.021836,0.166667,3.082189,3.0,0.0243,0.5,,-0.0417,-208.5805,5000.0,97.408124,20.0,8001.0,40.0
19,0.031057,12.386254,-0.361564,0.013999,0.136719,3.127982,4.0,0.0243,0.5,,-0.0343,-171.4361,5000.0,100.087082,20.0,7918.0,40.0
20,-0.052301,22.178461,-0.361529,0.024886,0.159375,5.492676,5.0,0.0243,0.5,,-0.0504,-252.0075,5000.0,101.018657,20.0,7918.0,40.0
21,0.011443,22.004779,-0.361342,0.035728,0.125,5.512999,4.0,0.0243,0.5,,-0.0528,-263.8418,5000.0,100.006886,20.0,7918.0,40.0
22,0.074901,14.259498,-0.361025,0.030254,0.225,3.640137,5.0,0.0243,0.5,,-0.0852,-425.7512,5000.0,100.161878,20.0,7918.0,40.0
23,0.046289,15.643373,-0.360681,0.02308,0.203125,3.957493,5.0,0.0243,0.5,,-0.0605,-302.5806,5000.0,96.017045,20.0,7776.0,40.0
24,-0.017886,16.643142,-0.360434,0.018411,0.208333,4.14326,3.0,0.0243,0.5,,-0.0532,-265.7603,5000.0,97.745735,20.0,8090.0,40.0
25,-0.020207,19.661887,-0.360248,0.0239,0.242188,4.895625,6.0,0.0243,0.5,,-0.0771,-385.3928,5000.0,101.960596,20.0,8090.0,40.0
26,0.071115,21.354182,-0.36014,0.023352,0.134375,5.41002,5.0,0.0243,0.5,,-0.0668,-333.9055,5000.0,95.552815,20.0,8229.0,40.0
27,0.056243,29.003806,-0.360185,0.023085,0.175,7.307554,5.0,0.0243,0.5,,-0.0317,-158.5593,5000.0,101.238577,20.0,8433.0,40.0
28,0.039689,19.864466,-0.360296,0.065151,0.159375,5.006166,5.0,0.02187,0.5,,-0.0666,-332.8577,5000.0,96.176341,20.0,8391.0,40.0
29,-0.026112,18.420871,-0.360422,0.015987,0.144531,4.579467,4.0,0.02187,0.5,,-0.0646,-322.9499,5000.0,96.555496,20.0,8442.0,40.0
30,-0.115233,11.242977,-0.360622,0.016995,0.161458,2.695872,3.0,0.02187,0.5,,-0.1045,-522.3984,5000.0,99.784505,20.0,8442.0,40.0
31,-0.029654,12.860055,-0.360779,0.024837,0.167969,3.185721,4.0,0.02187,0.5,,-0.0768,-384.163,5000.0,95.240361,20.0,8420.0,40.0
32,0.007621,27.818004,-0.360879,0.014616,0.136719,6.962483,4.0,0.02187,0.5,,-0.0608,-303.8921,5000.0,96.620068,20.0,8459.0,40.0
