iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
1,0.0,214.469607,0.0,0.0,0.0,214.469607,632.0,0.03,0.5,1.0,1.081,5405.0613,5000.0,,,,
2,0.0,15.449819,0.0,0.0,0.0,15.449819,632.0,0.03,0.5,1.0,0.2355,1177.4683,5000.0,,,,
3,0.0,12.570489,0.0,0.0,0.0,12.570489,632.0,0.03,0.5,1.0,0.2021,1010.259,5000.0,,,,
4,0.0,8.133939,0.0,0.0,0.0,8.133939,632.0,0.03,0.5,1.0,0.1995,997.2672,5000.0,,,,
5,0.0,6.884344,0.0,0.0,0.0,6.884344,632.0,0.03,0.5,1.0,0.1587,793.6187,5000.0,,,,
6,0.145837,6.237951,-0.362223,0.042126,0.28125,1.705687,2.0,0.03,0.5,,0.1974,987.1667,5000.0,99.281504,18.0,6095.0,40.0
7,0.020553,8.876709,-0.36226,0.110925,0.1875,2.240092,4.0,0.027,0.5,,0.1984,991.9376,5000.0,98.140077,20.0,6791.0,40.0
8,-0.027644,13.64533,-0.361868,0.020994,0.169271,3.38405,6.0,0.027,0.5,,0.1781,890.3675,5000.0,96.724427,20.0,6795.0,40.0
9,0.011064,9.604174,-0.361447,0.054568,0.191406,2.412468,4.0,0.0243,0.5,,0.2189,1094.4562,5000.0,95.259646,20.0,7184.0,40.0
10,0.005732,12.375015,-0.361111,0.027082,0.292969,3.099847,4.0,0.0243,0.5,,0.2128,1063.9914,5000.0,104.393105,20.0,7432.0,40.0
11,-0.028782,8.712167,-0.360817,0.018951,0.121094,2.149621,4.0,0.0243,0.5,,0.1752,876.1592,5000.0,101.117318,20.0,7242.0,40.0
12,0.027438,13.952097,-0.360532,0.056496,0.125,3.515822,3.0,0.02187,0.5,,0.2213,1106.6688,5000.0,98.795936,20.0,6800.0,40.0
13,0.019359,11.172566,-0.36036,0.014417,0.117188,2.812861,4.0,0.02187,0.5,,0.1999,999.5456,5000.0,101.818621,20.0,7134.0,40.0
14,-0.009759,11.709912,-0.360166,0.017085,0.145833,2.918079,3.0,0.02187,0.5,,0.1966,983.2012,5000.0,98.8305,20.0,7223.0,40.0
15,-0.078841,24.101583,-0.359997,0.029381,0.24375,5.946914,5.0,0.02187,0.5,,0.2348,1173.768,5000.0,95.912411,20.0,7156.0,40.0
16,-0.066891,19.414545,-0.359982,0.046294,0.199219,4.787105,4.0,0.019683,0.5,,0.2241,1120.3364,5000.0,96.52863,20.0,7136.0,40.0
17,0.014964,22.665476,-0.360009,0.021237,0.119792,5.681693,3.0,0.019683,0.5,,0.2685,1342.5105,5000.0,94.444526,20.0,7388.0,40.0
18,0.055986,8.982952,-0.360104,0.022036,0.177083,2.302084,6.0,0.019683,0.5,,0.2136,1068.2424,5000.0,96.959646,20.0,7469.0,40.0
19,-0.015591,9.337503,-0.360271,0.01482,0.161458,2.319145,3.0,0.019683,0.5,,0.1969,984.6168,5000.0,102.093265,20.0,7552.0,40.0
20,-0.020397,24.153448,-0.360304,0.018389,0.15625,6.018325,4.0,0.019683,0.5,,0.2597,1298.4541,5000.0,98.767735,20.0,7795.0,40.0
