iteration,explore_pool_best_sdy,explore_stall,explore_boost,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
191,3.75,0.0,0.0,0.039129,14.991921,-0.359945,0.01713,0.158854,3.787469,6.0,0.03,0.5,102.147744,3.0,1186.0,19.0,1.0617,5308.4984,5000.0
192,3.75,1.0,0.0,-0.005799,19.53525,-0.360456,0.012166,0.128551,4.878374,110.0,0.033,0.5,94.15674,6.0,2395.0,38.0,0.238,1189.7984,5000.0
193,3.75,2.0,0.0,0.001987,13.240755,-0.360893,0.009384,0.101389,3.312537,45.0,0.0363,0.5,92.566272,9.0,3712.0,40.0,0.2049,1024.4143,5000.0
194,3.75,3.0,0.0,0.041172,13.284052,-0.361081,0.012674,0.058854,3.362546,30.0,0.03993,0.5,94.75128,12.0,5045.0,40.0,0.2365,1182.6408,5000.0
195,3.75,4.0,0.0,-0.000281,13.988063,-0.361601,0.014735,0.149961,3.497096,159.0,0.043923,0.5,94.946148,15.0,6263.0,40.0,0.2298,1149.1817,5000.0
196,3.75,5.0,0.0,0.008456,13.140338,-0.362135,0.014545,0.142241,3.293903,87.0,0.048315,0.5,94.262761,18.0,7585.0,40.0,0.2321,1160.3917,5000.0
197,3.75,6.0,0.0,0.008276,14.173154,-0.361812,0.011799,0.108495,3.551927,71.0,0.05,5.0,106.87509,20.0,8400.0,40.0,0.2277,1138.4185,5000.0
198,3.75,7.0,0.0,-0.006888,15.103903,-0.361205,0.044524,0.321023,3.769449,11.0,0.05,5.0,111.40387,20.0,8438.0,40.0,0.2027,1013.3912,5000.0
199,4.94,0.0,0.0,0.051859,11.40106,-0.360643,0.038097,0.25,2.902485,8.0,0.05,5.0,106.628299,20.0,8310.0,40.0,0.1965,982.2554,5000.0
200,4.94,1.0,0.0,0.081252,13.121409,-0.360436,0.027772,0.236979,3.361965,6.0,0.05,5.0,107.449396,20.0,8474.0,40.0,0.2439,1219.2514,5000.0
201,4.94,2.0,0.0,0.042642,12.576861,-0.360134,0.03475,0.28125,3.187217,8.0,0.05,5.0,100.162532,20.0,8474.0,40.0,0.2314,1157.0278,5000.0
202,4.94,3.0,0.0,0.106446,7.575665,-0.359347,0.045786,0.365057,2.000722,11.0,0.05,5.0,105.775281,20.0,8508.0,40.0,0.2028,1013.7525,5000.0
203,4.94,4.0,0.0,0.004891,11.881947,-0.35908,0.038651,0.270089,2.975737,7.0,0.05,5.0,103.277187,20.0,8627.0,40.0,0.2409,1204.4593,5000.0
204,4.94,5.0,0.0,-0.010406,10.523702,-0.358627,0.028381,0.226562,2.620878,10.0,0.05,5.0,108.359641,20.0,8569.0,40.0,0.2038,1019.1936,5000.0
205,4.94,6.0,0.0,0.010385,12.918254,-0.358202,0.038886,0.30625,3.240307,10.0,0.05,5.0,103.787082,20.0,8478.0,40.0,0.199,995.0865,5000.0
206,4.94,7.0,0.0,0.029851,9.652651,-0.358478,0.039481,0.299716,2.443372,11.0,0.05,5.0,108.731856,20.0,8490.0,40.0,0.1923,961.4903,5000.0
207,4.94,0.0,0.2,-0.146096,13.579217,-0.358617,0.042238,0.315972,3.249067,9.0,0.05,5.0,100.135249,20.0,8602.0,40.0,0.2283,1141.6928,5000.0
208,4.94,1.0,0.2,0.032651,9.725566,0.041549,0.03694,0.291667,2.464001,15.0,0.05,5.0,89.397342,20.0,8793.0,40.0,0.1981,990.6656,5000.0
209,4.94,2.0,0.2,0.038436,11.775077,0.041754,0.043555,0.3,2.982164,15.0,0.05,5.0,99.4238,20.0,8615.0,40.0,0.2327,1163.6893,5000.0
210,4.94,3.0,0.2,-0.004884,10.574333,0.041648,0.029426,0.223438,2.638657,10.0,0.05,5.0,103.339077,20.0,8615.0,40.0,0.1875,937.6384,5000.0
211,4.94,4.0,0.2,0.071916,6.815744,0.041466,0.038045,0.288194,1.77581,9.0,0.05,5.0,99.607722,20.0,8615.0,40.0,0.1839,919.4703,5000.0
212,4.94,5.0,0.2,0.015749,11.757747,0.040774,0.023427,0.171875,2.955145,9.0,0.05,5.0,97.434211,20.0,8486.0,40.0,0.2275,1137.727,5000.0
213,4.94,6.0,0.2,0.039901,8.957771,0.039995,0.029854,0.246094,2.279304,8.0,0.05,5.0,98.32568,20.0,8306.0,40.0,0.1767,883.5132,5000.0
214,4.94,7.0,0.2,0.035791,9.441767,0.039626,0.03349,0.269097,2.396194,18.0,0.05,5.0,97.593035,20.0,8306.0,40.0,0.2064,1032.0157,5000.0
215,4.94,0.0,0.4,0.018333,12.951869,0.039781,0.032208,0.204241,3.256261,14.0,0.05,5.0,94.716922,20.0,8316.0,40.0,0.2214,1106.9124,5000.0
216,4.94,1.0,0.4,0.025423,9.004281,0.439237,0.032029,0.271034,2.276053,26.0,0.05,5.0,86.906095,20.0,8366.0,40.0,0.1775,887.6962,5000.0
217,4.94,2.0,0.4,0.035815,6.202097,0.439555,0.041809,0.329928,1.5859,26.0,0.05,5.0,88.906555,20.0,8366.0,40.0,0.1944,972.0497,5000.0
218,4.94,3.0,0.4,0.000864,8.622495,0.441295,0.033989,0.257812,2.156046,22.0,0.05,5.0,91.401231,20.0,8366.0,40.0,0.196,979.8766,5000.0
219,4.94,4.0,0.4,0.04897,10.474163,0.441727,0.026756,0.223214,2.667069,14.0,0.05,5.0,91.167095,20.0,8384.0,40.0,0.179,894.8119,5000.0
220,4.94,5.0,0.4,0.031851,7.63416,0.441321,0.030939,0.25601,1.939949,26.0,0.05,5.0,92.329071,20.0,8384.0,40.0,0.1611,805.5318,5000.0
221,4.94,6.0,0.4,0.029569,6.505282,0.440578,0.037613,0.340856,1.655449,27.0,0.05,5.0,92.493614,20.0,8384.0,40.0,0.1618,808.8961,5000.0
222,4.94,7.0,0.4,0.061812,5.148498,0.441299,0.034125,0.290923,1.348495,21.0,0.05,5.0,95.460484,20.0,8384.0,40.0,0.1849,924.3113,5000.0
223,4.94,0.0,0.6,0.033352,4.320232,0.440905,0.039483,0.333984,1.11297,32.0,0.05,5.0,89.900856,20.0,8384.0,40.0,0.18,900.0542,5000.0
224,4.94,1.0,0.6,-0.03894,9.33274,0.840555,0.03403,0.300551,2.293404,17.0,0.05,5.0,83.265009,20.0,8472.0,40.0,0.1788,893.9322,5000.0
225,4.94,2.0,0.6,-0.034971,6.169998,0.841083,0.028657,0.230208,1.506687,30.0,0.05,5.0,84.638217,20.0,8472.0,40.0,0.1439,719.7186,5000.0
226,4.94,3.0,0.6,0.012981,7.16876,0.840916,0.029327,0.254261,1.80433,44.0,0.05,5.0,83.440756,20.0,8472.0,40.0,0.1407,703.45,5000.0
227,4.94,4.0,0.6,-0.038053,6.449992,0.839551,0.025006,0.243304,1.573606,21.0,0.05,5.0,80.06044,20.0,8472.0,40.0,0.18,899.9204,5000.0
228,4.94,5.0,0.6,-0.021505,8.97807,0.837966,0.029471,0.271875,2.222175,25.0,0.05,5.0,79.77944,20.0,8472.0,40.0,0.1819,909.6127,5000.0
229,4.94,6.0,0.6,0.045138,5.943295,0.836317,0.021374,0.177989,1.530126,23.0,0.05,5.0,83.085004,20.0,8472.0,40.0,0.1628,813.8036,5000.0
230,4.94,7.0,0.6,0.019728,5.779272,0.835743,0.035666,0.206055,1.46371,16.0,0.05,5.0,79.298832,20.0,8472.0,40.0,0.1704,851.8107,5000.0
231,4.94,0.0,0.8,0.002962,5.407925,0.835175,0.030466,0.250868,1.354108,36.0,0.05,5.0,81.760936,20.0,8472.0,40.0,0.148,740.1061,5000.0
232,4.94,1.0,0.8,0.015689,3.783979,1.23167,0.026436,0.24314,0.960452,41.0,0.05,5.0,64.727141,20.0,8472.0,40.0,0.1316,658.1315,5000.0
233,4.94,2.0,0.8,-0.006295,4.930621,1.2295,0.025258,0.24564,1.22513,43.0,0.05,5.0,65.692183,20.0,8472.0,40.0,0.1357,678.4069,5000.0
234,4.94,3.0,0.8,-0.02202,5.114665,1.228683,0.019818,0.18471,1.255418,28.0,0.05,5.0,63.774829,20.0,8472.0,40.0,0.1356,677.9558,5000.0
235,4.94,4.0,0.8,0.018497,3.804579,1.228773,0.035135,0.303006,0.968413,79.0,0.05,5.0,62.116437,20.0,8472.0,40.0,0.1274,636.798,5000.0
236,4.94,5.0,0.8,0.025666,5.496891,1.226923,0.029166,0.247845,1.398661,58.0,0.05,5.0,68.04368,20.0,8472.0,40.0,0.1498,748.7836,5000.0
237,4.94,6.0,0.8,0.010784,3.668874,1.225042,0.027373,0.253314,0.926778,33.0,0.05,5.0,62.713487,20.0,8472.0,40.0,0.1293,646.5318,5000.0
238,4.94,7.0,0.8,0.019614,5.061425,1.224516,0.027662,0.249721,1.283746,56.0,0.05,5.0,67.206472,20.0,8472.0,40.0,0.1442,721.2334,5000.0
239,4.94,0.0,0.8,0.010047,5.437582,1.220811,0.029237,0.245133,1.368222,61.0,0.05,5.0,69.795842,20.0,8472.0,40.0,0.1477,738.6105,5000.0
240,4.94,1.0,0.8,0.018731,2.87933,1.217942,0.021133,0.186198,0.737345,24.0,0.05,5.0,65.766611,20.0,8472.0,40.0,0.1166,582.7516,5000.0
241,4.94,2.0,0.8,0.006269,5.105985,1.217239,0.033206,0.275886,1.281548,67.0,0.05,5.0,64.05981,20.0,8472.0,40.0,0.1398,698.7557,5000.0
242,4.94,3.0,0.8,0.015525,2.796283,1.216389,0.030611,0.289402,0.713379,92.0,0.05,5.0,66.531789,20.0,8472.0,40.0,0.1185,592.6704,5000.0
243,4.94,4.0,0.8,0.019817,3.875875,1.212284,0.029208,0.267257,0.987573,67.0,0.05,5.0,66.114241,20.0,8472.0,40.0,0.1437,718.2792,5000.0
244,4.94,5.0,0.8,0.015605,3.845009,1.211504,0.025355,0.233482,0.975646,35.0,0.05,5.0,63.948543,20.0,8472.0,40.0,0.129,645.1914,5000.0
245,4.94,6.0,0.8,0.000926,5.608338,1.210924,0.026538,0.252083,1.401799,60.0,0.05,5.0,63.608054,20.0,8472.0,40.0,0.1663,831.3448,5000.0
246,4.94,7.0,0.8,-0.00038,4.282386,1.204975,0.033702,0.303612,1.069011,167.0,0.05,5.0,67.463365,20.0,8472.0,40.0,0.1406,703.0966,5000.0
247,4.94,0.0,0.8,0.014117,5.147908,1.200728,0.028666,0.246212,1.299893,33.0,0.05,5.0,67.094898,20.0,8472.0,40.0,0.1456,727.9177,5000.0
248,4.94,1.0,0.8,0.016549,4.061049,1.199129,0.030599,0.286239,1.030612,119.0,0.05,5.0,67.087778,20.0,8472.0,40.0,0.1421,710.2943,5000.0
249,4.94,2.0,0.8,0.004273,4.280629,1.196663,0.029,0.280687,1.073234,111.0,0.05,5.0,65.261247,20.0,8472.0,40.0,0.137,685.2366,5000.0
250,4.94,3.0,0.8,0.008317,3.412343,1.196802,0.031352,0.309411,0.860207,86.0,0.05,5.0,66.147977,20.0,8472.0,40.0,0.1229,614.6721,5000.0
