=== Getting Over It 连续跟踪数据 ===
导出时间: 14/9/2025 19:24:11
数据点数: 275
采样频率: 50Hz
记录时长: 9.13秒

# 数据格式: CSV
# 输入数据(3DOF): mouseX, mouseY, isGripping
# 状态数据(8DOF): playerX, playerY, velocityX, velocityY, hammerAngle, hammerAngularVel, isGripping, isGrounded
# 变化率: mouseDeltaX, mouseDeltaY, grippingChanged, positionDelta, velocityDelta, angleDelta

timestamp,deltaTime,mouseX,mouseY,isGripping,playerX,playerY,velocityX,velocityY,hammerAngle,hammerAngularVel,isGrounded,mouseDeltaX,mouseDeltaY,grippingChanged,positionDelta,velocityDelta,angleDelta
10.983,0.0000,639.0,360.0,0,-29.780,-2.539,0.000,0.000,158.57,0.000,1,0.00,0.00,0,0.0000,0.0000,0.000
11.016,0.0333,639.0,360.0,0,-29.780,-2.539,0.000,0.000,158.58,0.000,1,0.00,0.00,0,0.0000,0.0000,0.005
11.050,0.0334,639.0,360.0,0,-29.780,-2.539,0.000,0.000,158.58,0.000,1,0.00,0.00,0,0.0000,0.0000,0.005
11.083,0.0333,639.0,360.0,0,-29.780,-2.539,0.000,0.000,158.59,0.000,1,0.00,0.00,0,0.0000,0.0000,0.004
11.116,0.0333,639.0,360.0,0,-29.780,-2.539,0.000,0.000,158.59,0.000,1,0.00,0.00,0,0.0000,0.0000,0.003
11.150,0.0334,639.0,360.0,0,-29.780,-2.539,0.000,0.000,158.59,0.000,1,0.00,0.00,0,0.0000,0.0000,0.003
11.183,0.0333,640.0,360.0,0,-29.780,-2.539,0.000,0.000,158.60,0.000,1,1.00,0.00,0,0.0000,0.0000,0.003
11.216,0.0334,639.0,359.0,0,-29.780,-2.539,0.000,0.000,158.59,0.000,1,-1.00,-1.00,0,0.0000,0.0000,-0.012
11.250,0.0333,640.0,359.0,0,-29.780,-2.539,0.000,0.000,158.11,0.000,1,1.00,0.00,0,0.0000,0.0000,-0.476
11.283,0.0333,640.0,359.0,0,-29.780,-2.539,0.000,0.000,156.45,0.000,1,0.00,0.00,0,0.0000,0.0000,-1.664
11.316,0.0334,640.0,359.0,0,-29.780,-2.539,0.000,0.000,154.51,0.000,1,0.00,0.00,0,0.0000,0.0000,-1.931
11.350,0.0333,639.0,359.0,0,-29.780,-2.539,0.000,0.000,153.61,0.000,1,-1.00,0.00,0,0.0000,0.0000,-0.907
11.383,0.0333,639.0,359.0,0,-29.780,-2.539,0.000,0.000,153.47,0.000,1,0.00,0.00,0,0.0000,0.0000,-0.140
11.416,0.0333,640.0,360.0,0,-29.780,-2.539,0.000,0.000,153.43,0.000,1,1.00,1.00,0,0.0000,0.0000,-0.043
11.450,0.0333,639.0,360.0,0,-29.780,-2.539,0.000,0.000,156.15,0.000,1,-1.00,0.00,0,0.0000,0.0000,2.725
11.483,0.0334,639.0,360.0,0,-29.779,-2.529,-0.064,0.455,179.41,-25.561,0,0.00,0.00,0,0.0100,0.4593,23.257
11.516,0.0333,639.0,360.0,0,-29.797,-2.513,-0.387,1.205,-163.51,-72.716,0,0.00,0.00,0,0.0240,0.8165,17.079
11.550,0.0333,640.0,360.0,0,-29.829,-2.440,-0.959,2.698,-160.79,-146.863,0,1.00,0.00,0,0.0800,1.5993,2.727
11.583,0.0333,640.0,360.0,0,-29.889,-2.326,-1.719,3.935,-156.27,-217.212,0,0.00,0.00,0,0.1286,1.4511,4.516
11.616,0.0333,639.0,359.0,0,-29.985,-2.176,-2.792,5.029,-150.02,-290.703,0,-1.00,-1.00,0,0.1776,1.5324,6.248
11.650,0.0333,639.0,359.0,0,-30.131,-2.001,-5.187,5.426,-142.14,-51.391,0,0.00,0.00,0,0.2279,2.4277,7.881
11.683,0.0333,639.0,360.0,0,-30.350,-1.822,-7.250,5.399,-127.53,0.000,0,0.00,1.00,0,0.2835,2.0637,14.616
11.716,0.0333,639.0,360.0,0,-30.640,-1.647,-9.584,5.186,-108.68,-3.712,0,0.00,0.00,0,0.3384,2.3440,18.848
11.750,0.0333,640.0,359.0,0,-30.989,-1.467,-10.577,5.820,-81.95,17.728,0,1.00,-1.00,0,0.3929,1.1781,26.727
11.783,0.0333,640.0,359.0,0,-31.333,-1.190,-10.373,9.709,-72.29,107.916,0,0.00,0.00,0,0.4417,3.8947,9.665
11.816,0.0333,640.0,359.0,0,-31.638,-0.864,-8.760,8.731,-74.26,220.978,0,0.00,0.00,0,0.4462,1.8866,-1.973
11.850,0.0333,640.0,359.0,0,-31.875,-0.591,-7.034,7.302,-96.59,341.577,0,0.00,0.00,0,0.3616,2.2409,-22.330
11.883,0.0333,640.0,359.0,0,-32.082,-0.392,-7.088,4.995,-130.38,318.528,0,0.00,0.00,0,0.2868,2.3072,-33.792
11.916,0.0333,640.0,359.0,0,-32.314,-0.270,-7.278,3.012,-160.24,-33.903,0,0.00,0.00,0,0.2628,1.9923,-29.862
11.950,0.0333,640.0,359.0,0,-32.581,-0.204,-8.252,1.402,172.22,-89.270,0,0.00,0.00,0,0.2749,1.8817,-27.538
11.983,0.0333,639.0,360.0,0,-32.887,-0.176,-9.193,0.929,146.83,-161.429,0,-1.00,1.00,0,0.3072,1.0533,-25.391
12.016,0.0333,640.0,360.0,0,-33.196,-0.127,-8.708,1.830,135.86,-133.680,0,1.00,0.00,0,0.3132,1.0232,-10.971
12.050,0.0334,639.0,359.0,0,-33.482,-0.069,-8.396,1.406,136.72,-105.094,0,-1.00,-1.00,0,0.2919,0.5266,0.867
12.083,0.0333,639.0,360.0,0,-33.789,-0.064,-9.432,-0.429,130.41,-181.828,0,0.00,1.00,0,0.3071,2.1070,-6.312
12.116,0.0333,639.0,360.0,0,-34.160,-0.090,-11.204,-0.322,107.63,-298.551,0,0.00,0.00,0,0.3717,1.7750,-22.785
12.150,0.0334,639.0,360.0,0,-34.531,-0.108,-10.733,-0.524,80.10,48.395,0,0.00,0.00,0,0.3716,0.5124,-27.527
12.183,0.0333,639.0,360.0,0,-34.864,-0.151,-9.919,-1.683,58.86,90.982,0,0.00,0.00,0,0.3354,1.4164,-21.236
12.216,0.0333,639.0,360.0,0,-35.184,-0.213,-9.668,-2.055,36.36,102.505,0,0.00,0.00,0,0.3263,0.4496,-22.503
12.250,0.0333,639.0,360.0,0,-35.484,-0.287,-8.931,-2.553,10.28,148.488,0,0.00,0.00,0,0.3090,0.8889,-26.087
12.283,0.0333,640.0,360.0,0,-35.752,-0.390,-8.060,-3.590,-16.73,201.189,0,1.00,0.00,0,0.2864,1.3542,-27.006
12.316,0.0333,639.0,360.0,0,-35.997,-0.525,-7.793,-4.281,-44.35,203.646,0,-1.00,0.00,0,0.2803,0.7406,-27.624
12.350,0.0333,640.0,360.0,0,-36.271,-0.696,-8.699,-6.349,-56.65,138.420,0,1.00,0.00,0,0.3225,2.2580,-12.296
12.383,0.0333,640.0,360.0,0,-36.576,-0.861,-9.419,-3.459,-49.63,-36.188,0,0.00,0.00,0,0.3467,2.9782,7.021
12.416,0.0333,640.0,359.0,0,-36.880,-0.947,-8.473,-2.686,-45.48,1.121,0,0.00,-1.00,0,0.3161,1.2213,4.152
12.450,0.0333,640.0,359.0,0,-37.139,-1.030,-7.480,-2.217,-45.13,33.420,0,0.00,0.00,0,0.2724,1.0982,0.353
12.483,0.0333,640.0,359.0,0,-37.379,-1.077,-6.905,-1.250,-48.07,22.816,0,0.00,0.00,0,0.2441,1.1253,-2.944
12.516,0.0333,640.0,360.0,0,-37.575,-1.120,-5.340,-1.308,-50.80,0.000,0,0.00,1.00,0,0.2006,1.5669,-2.731
12.550,0.0333,640.0,359.0,0,-37.716,-1.172,-3.686,-2.036,-59.77,-0.002,0,0.00,-1.00,0,0.1512,1.8067,-8.972
12.583,0.0333,639.0,359.0,0,-37.789,-1.295,-0.995,-5.106,-56.82,0.000,0,-1.00,0.00,0,0.1420,4.0825,2.957
12.616,0.0334,640.0,359.0,0,-37.747,-1.562,2.637,-9.740,-53.88,0.000,0,1.00,0.00,0,0.2705,5.8884,2.931
12.650,0.0334,640.0,359.0,0,-37.591,-1.916,3.346,0.405,-51.27,214.181,0,0.00,0.00,0,0.3870,10.1698,2.612
12.683,0.0333,639.0,359.0,0,-37.594,-1.923,0.000,0.000,-51.12,0.008,1,-1.00,0.00,0,0.0074,3.3709,0.157
12.716,0.0333,639.0,360.0,0,-37.594,-1.923,0.000,0.000,-51.11,0.001,1,0.00,1.00,0,0.0006,0.0002,0.003
12.750,0.0334,639.0,360.0,0,-37.594,-1.922,0.000,0.000,-51.11,0.003,1,0.00,0.00,0,0.0002,0.0001,0.002
12.783,0.0333,639.0,360.0,0,-37.593,-1.922,0.000,0.000,-46.60,0.000,1,0.00,0.00,0,0.0008,0.0001,4.510
12.816,0.0333,639.0,360.0,0,-37.626,-1.896,-1.349,1.047,-16.75,-134.618,0,0.00,0.00,0,0.0412,1.7071,29.845
12.850,0.0333,639.0,360.0,0,-37.732,-1.852,-3.395,1.866,-5.17,-309.585,0,0.00,0.00,0,0.1153,2.2046,11.586
12.883,0.0334,639.0,360.0,0,-37.802,-1.805,-1.121,1.186,-12.87,-124.179,0,0.00,0.00,0,0.0838,2.3743,-7.698
12.916,0.0333,639.0,360.0,0,-37.826,-1.776,-0.255,0.755,-26.00,-45.368,0,0.00,0.00,0,0.0378,0.9664,-13.130
12.950,0.0333,639.0,360.0,0,-37.858,-1.735,-1.002,1.819,-28.57,-85.293,0,0.00,0.00,0,0.0520,1.3001,-2.575
12.983,0.0333,639.0,360.0,0,-37.889,-1.659,-0.787,2.697,-30.62,-44.310,0,0.00,0.00,0,0.0823,0.9039,-2.051
13.016,0.0333,640.0,360.0,0,-37.922,-1.542,-0.974,4.001,-35.52,-26.677,0,1.00,0.00,0,0.1211,1.3172,-4.899
13.050,0.0333,639.0,360.0,0,-37.940,-1.394,-0.150,4.435,-48.37,46.598,0,-1.00,0.00,0,0.1488,0.9311,-12.854
13.083,0.0333,640.0,360.0,0,-37.937,-1.280,0.539,2.465,-55.21,81.176,0,1.00,0.00,0,0.1148,2.0869,-6.839
13.116,0.0333,640.0,360.0,0,-37.870,-1.229,2.019,1.664,-57.07,183.626,0,0.00,0.00,0,0.0839,1.6826,-1.855
13.150,0.0333,640.0,360.0,0,-37.769,-1.159,2.943,2.243,-59.77,240.445,0,0.00,0.00,0,0.1231,1.0903,-2.701
13.183,0.0333,640.0,360.0,0,-37.630,-1.075,4.300,2.427,-63.31,192.294,0,0.00,0.00,0,0.1624,1.3699,-3.538
13.216,0.0333,640.0,360.0,0,-37.438,-1.018,6.244,1.710,-67.60,0.001,0,0.00,0.00,0,0.1997,2.0716,-4.290
13.250,0.0333,640.0,360.0,0,-37.214,-0.951,6.913,1.836,-72.62,6.914,0,0.00,0.00,0,0.2341,0.6806,-5.025
13.283,0.0333,640.0,360.0,0,-36.979,-0.869,7.412,1.528,-77.99,38.446,0,0.00,0.00,0,0.2486,0.5868,-5.369
13.316,0.0334,640.0,360.0,0,-36.704,-0.821,8.707,1.425,-84.03,0.174,0,0.00,0.00,0,0.2789,1.2988,-6.037
13.350,0.0333,640.0,360.0,0,-36.393,-0.790,9.775,0.691,-90.92,0.016,0,0.00,0.00,0,0.3133,1.2964,-6.893
13.383,0.0333,640.0,359.0,0,-36.039,-0.801,11.164,-0.677,-98.83,0.000,0,0.00,-1.00,0,0.3535,1.9488,-7.913
13.416,0.0333,640.0,360.0,0,-35.649,-0.883,12.236,-2.815,-107.69,-0.089,0,0.00,1.00,0,0.3988,2.3922,-8.852
13.450,0.0333,640.0,359.0,0,-35.220,-1.025,13.305,-5.071,-118.29,0.000,0,0.00,-1.00,0,0.4516,2.4961,-10.602
