timestamp,mouseXdelta,mouseYdelta
0.000000,1.218868,-4.159936
0.016667,4.098786,0.018316
0.033333,-4.115233,-5.192234
0.050000,-3.192348,-5.937981
0.066667,-2.940318,-8.756358
0.083333,0.871306,-4.769555
0.100000,1.048298,0.216366
0.116667,2.813505,-3.242441
0.133333,4.007158,-6.753727
0.150000,7.120243,-6.278058
0.166667,5.668770,-8.373970
0.183333,9.992058,-8.154691
0.200000,7.279541,-8.747756
0.216667,8.680824,-6.411204
0.233333,9.463672,-4.046800
0.250000,17.083895,-5.267780
0.266667,13.326535,-7.996093
0.283333,14.457799,-2.680595
0.300000,12.556229,-5.773161
0.316667,8.002681,-2.593474
0.333333,10.175430,-0.161509
0.350000,6.495848,0.783287
0.366667,6.313006,1.579713
0.383333,9.167421,2.316124
0.400000,10.966333,2.354827
0.416667,11.026177,4.644498
0.433333,4.094936,2.901363
0.450000,1.803952,0.055715
0.466667,0.522988,6.029909
0.483333,-2.992635,9.300032
0.500000,-9.424851,7.030488
0.516667,-7.831354,8.672329
0.533333,-4.203312,10.978485
0.550000,-5.177881,8.031229
0.566667,-1.228189,6.462889
0.583333,-6.208116,1.283451
0.600000,-9.265113,3.143749
0.616667,-7.768899,5.591316
0.633333,-8.701020,5.666343
0.650000,-5.328556,3.862322
0.666667,-2.968600,0.828386
0.683333,-4.123955,-0.781404
0.700000,-8.494918,1.244626
0.716667,-9.523036,1.170140
0.733333,-6.647745,2.839251
0.750000,-3.321430,2.161384
0.766667,-4.682481,1.626373
0.783333,-10.963570,-4.324714
0.800000,-15.158012,-7.881230
0.816667,-12.043114,-10.715024
0.833333,-12.351453,-4.446608
0.850000,-12.541363,-1.051885
0.866667,-15.021698,-1.768447
0.883333,-17.319616,-2.947734
0.900000,-12.226422,-9.562243
0.916667,-9.266085,-7.655076
0.933333,-10.716076,-12.673800
0.950000,-9.355951,-13.524391
0.966667,-7.489651,-12.084543
0.983333,-0.333570,-11.833511
1.000000,-4.394203,-9.933058
1.016667,-3.074796,-3.503001
1.033333,0.573129,-1.725217
1.050000,6.369027,-6.307748
1.066667,3.173118,-9.383277
1.083333,1.296567,-13.951694
1.100000,3.707514,-13.445415
1.116667,-2.546462,-16.163190
1.133333,-1.037761,-11.194365
1.150000,7.052939,1.580522
1.166667,8.005283,-2.535683
1.183333,-1.323431,-1.211269
1.200000,-4.442852,-2.751571
1.216667,-6.446954,-3.039577
1.233333,-1.538338,-2.107425
1.250000,-2.019043,-6.039298
1.266667,-8.515871,-7.380600
1.283333,-7.879414,0.429180
1.300000,-6.570374,4.317220
1.316667,-7.910519,-0.854277
1.333333,-10.979934,-3.669754
1.350000,-1.368062,-6.588325
1.366667,2.122701,-9.541201
1.383333,5.636723,-7.047277
1.400000,4.446499,-6.505600
1.416667,1.382698,-4.070751
1.433333,-0.575505,-8.566099
1.450000,-5.629705,-7.019137
1.466667,1.249630,-5.677257
1.483333,0.650114,-3.966227
1.500000,5.809110,-2.692074
1.516667,3.584490,2.002288
1.533333,4.941067,7.945083
1.550000,5.179898,2.252699
1.566667,-0.810729,8.631141
1.583333,6.165007,7.049950
1.600000,4.015757,12.190732
1.616667,-0.814002,7.392751
1.633333,1.840706,5.075055
1.650000,1.636148,3.913778
1.666667,2.822831,9.152328
1.683333,2.902888,10.812850
1.700000,-5.588090,9.536691
1.716667,-8.402202,3.707770
1.733333,-11.074591,2.000499
1.750000,-6.303522,-3.505122
1.766667,-5.550644,-5.091287
1.783333,-6.306272,-0.571127
1.800000,-3.523183,4.835578
1.816667,-3.788887,1.568250
1.833333,-4.305434,2.381412
1.850000,-3.168597,-2.194281
1.866667,-2.489778,-1.061940
1.883333,7.829096,6.551632
1.900000,3.633213,4.746936
1.916667,-2.583876,1.909414
1.933333,-1.063069,6.541887
1.950000,-3.873097,3.271113
1.966667,-12.074944,2.293338
1.983333,-15.117107,-0.053754
2.000000,-17.112839,-0.425429
2.016667,-20.000000,-6.251067
2.033333,-11.672234,-10.775650
2.050000,-14.892153,-2.350431
2.066667,-1.782669,-6.801655
2.083333,-3.077398,-4.755267
2.100000,4.145133,-8.227169
2.116667,2.749508,-4.295101
2.133333,4.213622,-5.370216
2.150000,3.256968,-10.332777
2.166667,1.978576,-10.365049
2.183333,2.709398,-11.549853
2.200000,4.324612,-6.344005
2.216667,4.513868,-4.302579
2.233333,4.275103,-3.871983
2.250000,0.961360,-2.218808
2.266667,0.476078,6.375746
2.283333,6.721890,7.281558
2.300000,2.997472,2.103756
2.316667,7.462297,2.944377
2.333333,8.636641,-4.328404
2.350000,11.482730,-2.077883
2.366667,5.892735,-3.756193
2.383333,6.358330,-3.170707
2.400000,4.553812,-3.267589
2.416667,3.090521,-2.330580
2.433333,8.667437,-12.364156
2.450000,6.853292,-10.421691
2.466667,7.351939,-10.867180
2.483333,-0.410142,-8.468480
2.500000,6.540273,-13.757078
2.516667,9.341558,-13.695471
2.533333,8.162105,-16.537518
2.550000,6.008070,-9.683588
2.566667,7.737884,-1.785982
2.583333,11.673743,0.148963
2.600000,17.482107,1.890039
2.616667,19.045849,0.514751
2.633333,17.407447,-2.326419
2.650000,19.625038,-6.806992
2.666667,20.000000,-6.888897
2.683333,20.000000,-3.196531
2.700000,20.000000,0.046221
2.716667,19.218327,-0.226214
2.733333,12.608465,-2.276712
2.750000,17.392533,0.501094
2.766667,12.857558,-3.603884
2.783333,11.702930,-8.109737
2.800000,7.848076,-6.050725
2.816667,11.684517,-3.010607
2.833333,1.350907,-1.492079
2.850000,1.503951,0.312690
2.866667,7.818394,-7.971532
2.883333,4.672141,-4.810754
2.900000,-2.121451,1.574118
2.916667,-0.435879,4.803042
2.933333,-2.676066,7.577793
2.950000,1.865427,7.751525
2.966667,2.616488,8.057746
2.983333,-1.098542,6.661857
3.000000,-1.598778,7.529246
3.016667,2.560397,2.542177
3.033333,1.804321,8.213782
3.050000,-1.350464,4.103404
3.066667,-0.406193,7.070604
3.083333,-0.319869,11.679386
3.100000,3.139294,13.878728
3.116667,5.041830,20.000000
3.133333,3.717000,11.607231
3.150000,9.762318,8.615711
3.166667,9.217608,12.992342
3.183333,1.886809,6.686519
3.200000,-4.706984,2.841322
3.216667,-2.477739,4.653941
3.233333,-1.124868,-1.462516
3.250000,-10.252795,-1.098850
3.266667,-11.114620,0.848578
3.283333,-7.195343,1.316686
3.300000,-3.435277,2.101863
3.316667,-0.971490,-0.927017
3.333333,-1.592787,-0.047211
3.350000,1.848606,-1.617454
3.366667,3.748414,-2.519064
3.383333,2.903404,1.050919
3.400000,-5.359178,-4.240063
3.416667,-10.752002,-13.150521
3.433333,-12.389859,-8.837733
3.450000,-12.290410,-7.162800
3.466667,-6.704499,-1.135775
3.483333,-6.310600,4.392146
3.500000,-5.311034,0.603339
3.516667,-7.157532,-5.379141
3.533333,-9.994314,-6.273294
3.550000,-5.780543,1.237115
3.566667,-10.731214,2.684713
3.583333,-13.820269,4.315030
3.600000,-12.962588,-3.440096
3.616667,-7.953142,-5.516089
3.633333,-9.293428,-9.243490
3.650000,-10.981219,-6.607579
3.666667,-10.640074,-4.632173
3.683333,-8.128379,1.113691
3.700000,-8.686686,-4.905110
3.716667,-3.549128,-5.740551
3.733333,1.264155,-3.632988
3.750000,0.613189,-1.874585
3.766667,8.355921,6.620795
3.783333,7.797853,6.599478
3.800000,11.323028,2.556886
3.816667,11.523007,2.197746
3.833333,11.626339,-1.355504
3.850000,4.105435,-9.511887
3.866667,-0.774645,-10.395400
3.883333,-1.869947,-1.606935
3.900000,2.741022,-5.294606
3.916667,3.857753,-6.393458
3.933333,2.334523,-5.012810
3.950000,4.577755,-5.868563
3.966667,8.375385,-9.849459
3.983333,7.563203,1.526181
4.000000,7.699202,7.106421
4.016667,7.295362,8.718888
4.033333,6.338693,7.165368
4.050000,2.586894,8.170037
4.066667,-1.077944,10.015374
4.083333,3.370999,10.479963
4.100000,1.888904,11.247829
4.116667,0.465321,13.865234
4.133333,-6.906835,11.136281
4.150000,-14.179400,4.042410
4.166667,-7.306011,7.218909
4.183333,-9.453331,0.487004
4.200000,-20.000000,-1.735678
4.216667,-8.647842,0.177427
4.233333,-10.021347,2.020005
4.250000,-15.263045,0.628711
4.266667,-13.338831,0.221437
4.283333,-8.841723,1.577874
4.300000,-5.284247,-1.333402
4.316667,-1.164561,5.315686
4.333333,-4.928703,1.233335
4.350000,0.907305,0.344625
4.366667,6.431860,-1.459980
4.383333,11.608856,-0.788039
4.400000,11.480886,5.549637
4.416667,8.885715,1.230185
4.433333,6.202887,2.916502
4.450000,-0.680438,5.174736
4.466667,-2.767479,9.248513
4.483333,-12.067773,5.177398
4.500000,-17.606868,1.354741
4.516667,-14.855518,0.502360
4.533333,-14.383476,-0.184615
4.550000,-12.131576,-4.200298
4.566667,-8.091019,-1.129604
4.583333,-5.741766,1.209490
4.600000,-3.981917,9.228834
4.616667,-3.932102,7.077618
4.633333,-6.553002,2.240805
4.650000,-10.875589,-1.538464
4.666667,-10.070752,-0.047437
4.683333,-8.859108,-3.104835
4.700000,-4.372459,0.163299
4.716667,-4.573807,-2.464695
4.733333,-1.922714,-1.466331
4.750000,-7.522952,-1.591619
4.766667,-5.722513,-5.031236
4.783333,-4.390888,-10.347403
4.800000,1.392945,-4.320863
4.816667,0.243581,-2.434959
4.833333,-9.420465,-6.816854
4.850000,-9.653534,-10.423700
4.866667,-5.830595,-1.392144
4.883333,-9.953994,-4.602783
4.900000,-8.016801,2.301960
4.916667,-12.104618,3.067908
4.933333,-3.608961,-3.845919
4.950000,-8.372342,-5.155754
4.966667,-9.617461,-1.389773
4.983333,-7.689076,-8.350644
5.000000,-4.858527,-9.825735
5.016667,0.725114,-11.353512
5.033333,-1.893858,-8.053634
5.050000,1.347234,-5.455873
