timestamp,mouseXdelta,mouseYdelta
0.000,0.000,0.000
0.017,13.572,29.387
0.033,-0.816,24.266
0.050,2.801,13.620
0.067,-10.109,24.939
0.083,-4.357,24.748
0.100,-3.962,26.792
0.117,-4.472,31.243
0.133,-13.624,20.535
0.150,-19.679,29.860
0.167,-10.502,23.152
0.183,3.312,18.487
0.200,-16.515,8.838
0.217,-14.448,21.235
0.233,-14.293,19.560
0.250,-18.305,21.681
0.267,-14.689,15.324
0.283,-25.321,15.688
0.300,-27.197,23.469
0.317,-12.863,21.162
0.333,-23.192,14.813
0.350,-23.454,4.995
0.367,-27.608,4.038
0.383,-15.480,10.144
0.400,-25.096,10.945
0.417,-26.127,6.392
0.433,-23.735,-0.480
0.450,-11.968,6.492
0.467,-19.265,0.519
0.483,-34.391,-4.298
0.500,-12.493,-6.265
0.517,-16.404,-7.844
0.533,-24.195,-0.133
0.550,-16.891,-8.089
0.567,-13.649,-16.840
0.583,-38.790,-14.434
0.600,-28.329,-13.244
0.617,-22.374,-4.244
0.633,-23.640,-13.813
0.650,-15.592,-1.587
0.667,-18.382,-12.716
0.683,-25.252,-23.425
0.700,-23.991,-14.915
0.717,-21.748,-13.238
0.733,-20.547,-14.095
0.750,-14.726,-17.694
0.767,-12.836,-13.264
0.783,-4.086,-20.534
0.800,-23.392,-26.821
0.817,-17.885,-30.550
0.833,-15.924,-25.624
0.850,-5.139,-33.649
0.867,-17.954,-4.940
0.883,-19.724,-28.160
0.900,-5.920,-19.322
0.917,-8.723,-15.421
0.933,2.412,-24.172
0.950,0.411,-31.532
0.967,0.105,-32.074
0.983,3.718,-24.732
1.000,-3.541,-25.542
1.017,3.562,-32.593
1.033,-3.303,-33.666
1.050,13.657,-21.329
1.067,10.027,-38.293
1.083,20.660,-22.722
1.100,-4.285,-25.735
1.117,4.056,-32.362
1.133,5.413,-30.709
1.150,12.423,-27.797
1.167,5.900,-32.561
1.183,15.366,-21.785
1.200,7.615,-33.965
1.217,22.300,-19.494
1.233,16.287,-13.255
1.250,10.218,-12.800
1.267,18.297,-19.642
1.283,16.610,-18.353
1.300,20.883,-9.837
1.317,24.337,-16.354
1.333,20.868,-19.091
1.350,21.470,-21.329
1.367,30.532,-5.343
1.383,19.150,-1.852
1.400,17.595,-3.593
1.417,38.419,-7.934
1.433,26.803,-4.410
1.450,23.185,0.900
1.467,25.922,5.251
1.483,29.616,2.591
1.500,26.166,-0.499
1.517,24.328,1.435
1.533,26.130,-0.571
1.550,25.937,7.571
1.567,26.657,-0.358
1.583,24.985,5.798
1.600,18.792,6.440
1.617,32.732,4.464
1.633,35.411,22.598
1.650,21.785,13.261
1.667,20.861,16.196
1.683,21.162,14.815
1.700,29.473,8.803
1.717,13.378,28.912
1.733,30.859,19.767
1.750,17.079,21.081
1.767,12.137,23.423
1.783,8.854,14.528
1.800,15.930,21.777
1.817,19.822,22.528
1.833,12.180,25.578
1.850,5.358,20.683
1.867,9.820,24.116
1.883,3.191,24.208
1.900,15.274,22.301
1.917,9.173,36.978
1.933,9.016,28.071
1.950,12.550,31.976
1.967,-0.608,29.267
1.983,-5.816,31.358
2.000,-5.231,32.679
2.017,-5.616,29.600
2.033,-11.611,24.493
2.050,-0.196,33.437
2.067,-3.005,21.815
2.083,-5.043,31.025
2.100,-4.238,18.281
2.117,-9.558,45.619
2.133,3.553,17.063
2.150,4.025,29.618
2.167,-12.492,16.960
2.183,-11.788,31.469
2.200,-10.504,30.263
2.217,-20.220,25.284
2.233,-11.911,17.771
2.250,-20.808,18.795
2.267,-21.606,14.035
2.283,-14.054,10.791
2.300,-23.174,30.590
2.317,-18.263,23.730
2.333,-36.152,6.620
2.350,-24.141,6.302
2.367,-20.933,-0.058
2.383,-29.570,16.036
2.400,-17.616,14.769
2.417,-22.444,11.653
2.433,-19.265,-3.127
2.450,-32.783,4.435
2.467,-26.491,-1.664
2.483,-25.143,2.021
2.500,-34.177,2.525
2.517,-21.197,-1.057
2.533,-21.681,-1.961
2.550,-28.249,-0.682
2.567,-22.866,-3.511
2.583,-23.989,-12.172
2.600,-37.329,-11.450
2.617,-20.456,-16.496
2.633,-24.481,-13.004
2.650,-22.938,-6.110
2.667,-10.513,-16.445
2.683,-19.870,-22.248
2.700,-27.696,-11.499
2.717,-12.026,-8.631
2.733,-25.293,-16.079
2.750,-20.953,-28.452
2.767,-13.895,-13.466
2.783,-14.004,-18.364
2.800,-18.845,-28.410
2.817,-12.721,-24.493
2.833,-2.639,-20.987
2.850,-8.242,-25.427
2.867,-12.080,-23.781
2.883,-1.929,-22.512
2.900,-13.722,-17.868
2.917,-8.765,-17.263
2.933,5.228,-30.606
2.950,-0.590,-27.202
2.967,11.473,-20.823
2.983,4.336,-23.841
3.000,-6.237,-20.734
3.017,-5.472,-45.309
3.033,-2.286,-29.458
